127.0.0.1 - - [21/Jun/2020:19:24:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:24:45 +0530] "GET /Chapter-8/faces/index.xhtml HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:24:45 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js;jsessionid=363B82127EC44CDACEC14545E5B57C5B?ln=javax.faces HTTP/1.1" 200 41707
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:16 +0530] "GET /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:16 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 41707
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:29 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:29 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:29 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:30 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:30 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:32 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:32 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:48 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:49 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:25:49 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:26:24 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:31:54 +0530] "GET /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:31:54 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:32:00 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:32:01 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:32:01 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [21/Jun/2020:19:32:01 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 210
